N,D,sigma,tau,omega,Cp*
3,2,0.54,0.1500,0.600000,0.013484
4,3,0.36,0.2100,0.666667,0.013437
2,1,0.36,0.1200,0.233333,0.013367
4,2,0.36,0.1200,0.233333,0.013367
3,2,0.26,0.1800,0.166667,0.013363
4,1,0.26,0.1800,0.133333,0.013326
4,3,0.36,0.2100,0.166667,0.013319
3,2,0.18,0.1500,0.233333,0.013296
2,1,0.18,0.2100,0.200000,0.012893
4,2,0.18,0.2100,0.200000,0.012893
2,3,0.18,0.1200,1.000000,0.012747
3,4,0.36,0.1800,0.133333,0.012735
2,1,0.54,0.1200,0.600000,0.012566
4,2,0.54,0.1200,0.600000,0.012566
4,3,0.26,0.1800,0.166667,0.012486
3,1,0.36,0.1500,0.200000,0.012475
3,4,0.54,0.1500,0.166667,0.012226
3,2,0.18,0.1800,0.166667,0.012226
3,1,0.26,0.1800,0.133333,0.01219
2,2,0.18,0.1500,0.233333,0.012164
3,3,0.18,0.1500,0.233333,0.012164
4,4,0.18,0.1500,0.233333,0.012164
4,1,0.18,0.1200,0.233333,0.012138
4,3,0.18,0.1500,0.233333,0.012129
2,3,0.36,0.2100,0.133333,0.01208
2,2,0.36,0.1800,0.133333,0.01195
3,3,0.36,0.1800,0.133333,0.01195
4,4,0.36,0.1800,0.133333,0.01195
3,2,0.26,0.2100,0.200000,0.011867
2,4,0.26,0.2100,0.833333,0.011722
4,1,0.26,0.2100,0.166667,0.011698
3,1,0.26,0.1500,0.200000,0.011617
2,3,0.36,0.1800,0.133333,0.011471
3,3,0.54,0.1800,0.133333,0.011471
4,3,0.18,0.1800,0.166667,0.011432
3,1,0.72,0.1800,0.133333,0.011387
2,3,0.26,0.1500,0.200000,0.01131
2,3,0.18,0.1800,0.166667,0.011264
4,3,0.36,0.1500,0.200000,0.011263
2,4,0.26,0.1200,0.233333,0.011039
3,2,0.18,0.2100,0.200000,0.010959
2,2,0.72,0.2100,0.133333,0.0109
3,3,0.72,0.2100,0.133333,0.0109
4,4,0.72,0.2100,0.133333,0.0109
2,3,0.54,0.1500,0.166667,0.010899
3,1,0.18,0.1200,0.233333,0.010877
4,1,0.18,0.2100,0.766667,0.010862
3,1,0.36,0.2100,0.166667,0.010785
3,4,0.54,0.1800,0.133333,0.010733
2,3,0.72,0.2100,0.533333,0.010722
3,4,0.26,0.1500,0.200000,0.010507
3,2,0.72,0.1200,0.533333,0.010498
4,1,0.72,0.1200,0.200000,0.010474
4,1,0.18,0.1500,0.200000,0.01037
4,1,0.18,0.1800,0.133333,0.010191
3,4,0.18,0.1800,0.166667,0.01019
3,1,0.26,0.2100,0.166667,0.010102
2,1,0.36,0.1800,0.133333,0.010079
4,2,0.36,0.1800,0.133333,0.010079
4,3,0.18,0.2100,0.200000,0.010059
2,1,0.26,0.1800,0.133333,0.009861
4,2,0.26,0.1800,0.133333,0.009861
2,2,0.36,0.2100,0.133333,0.00977
3,3,0.36,0.2100,0.133333,0.00977
4,4,0.36,0.2100,0.133333,0.00977
2,1,0.26,0.1200,0.233333,0.009743
4,2,0.26,0.1200,0.233333,0.009743
4,3,0.36,0.1200,0.733333,0.009681
2,4,0.54,0.1800,0.166667,0.009664
3,2,0.36,0.1500,0.200000,0.00965
3,1,0.18,0.1800,0.133333,0.009629
2,2,0.54,0.1200,0.633333,0.009596
3,3,0.54,0.1200,0.633333,0.009596
4,3,0.54,0.1200,0.633333,0.009596
4,4,0.54,0.1200,0.633333,0.009596
2,3,0.26,0.1800,0.133333,0.009571
2,4,0.26,0.2100,0.133333,0.009483
3,3,0.72,0.1800,0.133333,0.009371
3,1,0.18,0.1500,0.200000,0.009364
3,1,0.72,0.1200,0.200000,0.009334
4,3,0.36,0.1800,0.133333,0.009243
3,1,0.54,0.2100,0.166667,0.009234
2,2,0.18,0.1800,0.166667,0.009205
3,3,0.18,0.1800,0.166667,0.009205
4,4,0.18,0.1800,0.166667,0.009205
4,1,0.18,0.2100,0.166667,0.009182
3,2,0.36,0.2100,0.166667,0.009012
2,4,0.26,0.1800,0.133333,0.009003
2,3,0.26,0.1200,0.233333,0.008978
4,1,0.54,0.2100,0.133333,0.008964
2,2,0.26,0.2100,0.166667,0.008947
3,3,0.26,0.2100,0.166667,0.008947
4,4,0.26,0.2100,0.166667,0.008947
2,1,0.18,0.1500,0.833333,0.00886
4,2,0.18,0.1500,0.833333,0.00886
3,2,0.72,0.1500,0.166667,0.008816
4,1,0.36,0.2100,0.133333,0.008765
2,3,0.26,0.2100,0.133333,0.008737
2,1,0.72,0.1200,0.200000,0.008666
4,2,0.72,0.1200,0.200000,0.008666
3,2,0.36,0.1800,0.133333,0.00863
3,4,0.26,0.1800,0.133333,0.00859
2,1,0.18,0.1200,0.233333,0.008495
4,2,0.18,0.1200,0.233333,0.008495
3,4,0.26,0.1200,0.233333,0.008459
2,1,0.18,0.1800,0.133333,0.008432
4,2,0.18,0.1800,0.133333,0.008432
3,1,0.18,0.2100,0.166667,0.008423
2,2,0.26,0.1200,0.233333,0.008403
3,3,0.26,0.1200,0.233333,0.008403
4,4,0.26,0.1200,0.233333,0.008403
2,2,0.18,0.2100,0.200000,0.008391
3,3,0.18,0.2100,0.200000,0.008391
4,4,0.18,0.2100,0.200000,0.008391
2,4,0.54,0.2100,0.166667,0.008307
4,1,0.54,0.1200,0.200000,0.008272
2,4,0.18,0.1500,0.200000,0.008248
2,4,0.36,0.1500,0.166667,0.007903
3,2,0.26,0.1800,0.133333,0.007843
3,4,0.72,0.1500,0.166667,0.007795
4,3,0.18,0.2100,0.866667,0.007771
4,1,0.36,0.1200,0.200000,0.007751
2,1,0.54,0.2100,0.566667,0.007719
4,2,0.54,0.2100,0.566667,0.007719
4,1,0.36,0.1500,0.166667,0.007701
2,1,0.26,0.1500,0.200000,0.007677
4,2,0.26,0.1500,0.200000,0.007677
3,4,0.54,0.2100,0.133333,0.007649
2,4,0.72,0.1200,0.566667,0.007639
4,1,0.26,0.2100,0.133333,0.00762
4,3,0.26,0.1200,0.233333,0.007617
2,4,0.36,0.1800,0.133333,0.007506
2,2,0.26,0.1200,0.200000,0.007495
3,3,0.26,0.1500,0.200000,0.007495
4,1,0.26,0.1500,0.200000,0.007495
4,4,0.26,0.1500,0.200000,0.007495
2,1,0.18,0.1500,0.200000,0.00747
4,2,0.18,0.1500,0.200000,0.00747
3,2,0.26,0.1200,0.233333,0.007469
3,2,0.18,0.1800,0.133333,0.007412
2,3,0.18,0.2100,0.166667,0.007361
2,3,0.54,0.1800,0.133333,0.007327
2,4,0.36,0.1200,0.233333,0.007274
4,1,0.72,0.2100,0.133333,0.007225
4,1,0.26,0.1500,0.166667,0.007205
4,1,0.36,0.1800,0.566667,0.007093
2,1,0.26,0.2100,0.166667,0.006996
4,2,0.26,0.2100,0.166667,0.006996
2,1,0.18,0.2100,0.166667,0.006905
4,2,0.18,0.2100,0.166667,0.006905
2,2,0.26,0.1800,0.133333,0.006861
3,3,0.26,0.1800,0.133333,0.006861
4,4,0.26,0.1800,0.133333,0.006861
4,1,0.54,0.1500,0.166667,0.006838
4,3,0.18,0.1800,0.133333,0.00683
2,1,0.36,0.1500,0.200000,0.006776
4,2,0.36,0.1500,0.200000,0.006776
4,3,0.26,0.1800,0.133333,0.006754
3,1,0.36,0.2100,0.133333,0.006732
3,4,0.26,0.2100,0.133333,0.006711
2,2,0.54,0.1500,0.166667,0.006605
3,3,0.54,0.1500,0.166667,0.006605
4,4,0.54,0.1500,0.166667,0.006605
3,1,0.26,0.2100,0.133333,0.006527
2,4,0.18,0.1200,0.233333,0.006524
2,4,0.18,0.1800,0.133333,0.006513
4,1,0.72,0.1500,0.166667,0.006457
3,2,0.18,0.1200,0.233333,0.006274
2,1,0.72,0.1500,0.166667,0.006247
4,2,0.72,0.1500,0.166667,0.006247
4,1,0.18,0.1200,0.200000,0.006203
4,1,0.18,0.2100,0.133333,0.006071
4,1,0.18,0.1500,0.166667,0.006017
2,1,0.54,0.1500,0.200000,0.005947
2,3,0.18,0.1500,0.200000,0.005947
2,3,0.18,0.1200,0.233333,0.00577
3,1,0.26,0.1500,0.166667,0.005648
3,2,0.18,0.1500,0.200000,0.005617
2,4,0.72,0.2100,0.533333,0.005596
3,1,0.18,0.2100,0.133333,0.005544
2,4,0.36,0.2100,0.133333,0.005512
2,2,0.18,0.1800,0.133333,0.005498
3,3,0.18,0.1800,0.133333,0.005498
4,4,0.18,0.1800,0.133333,0.005498
3,2,0.18,0.2100,0.166667,0.005494
3,1,0.26,0.1200,0.200000,0.005453
2,2,0.72,0.1500,0.533333,0.005431
3,3,0.72,0.1500,0.533333,0.005431
4,4,0.72,0.1500,0.533333,0.005431
2,1,0.18,0.1200,0.866667,0.005402
4,2,0.18,0.1200,0.866667,0.005402
2,4,0.18,0.2100,0.133333,0.005397
4,1,0.36,0.1500,0.133333,0.005393
2,1,0.54,0.2100,0.133333,0.00527
4,2,0.54,0.2100,0.133333,0.00527
3,1,0.18,0.1500,0.166667,0.005266
3,4,0.18,0.2100,0.166667,0.005259
2,3,0.18,0.1800,0.133333,0.005206
3,1,0.18,0.1200,0.200000,0.005202
4,3,0.18,0.1200,0.233333,0.005141
3,4,0.18,0.1200,0.233333,0.005125
2,1,0.36,0.2100,0.166667,0.005122
4,2,0.36,0.2100,0.166667,0.005122
4,3,0.26,0.1500,0.200000,0.005103
4,1,0.26,0.1500,0.133333,0.005035
3,4,0.18,0.1500,0.200000,0.004991
3,1,0.72,0.2100,0.133333,0.00491
4,3,0.18,0.2100,0.166667,0.004829
3,4,0.18,0.1800,0.133333,0.004818
3,1,0.36,0.1500,0.166667,0.004806
4,3,0.18,0.1500,0.200000,0.004778
3,1,0.72,0.1500,0.166667,0.00475
3,1,0.54,0.2100,0.133333,0.004713
3,2,0.26,0.1500,0.200000,0.004551
2,1,0.18,0.2100,0.133333,0.004534
4,2,0.18,0.2100,0.133333,0.004534
2,3,0.36,0.1500,0.166667,0.004533
4,1,0.54,0.1500,0.133333,0.004521
2,1,0.26,0.2100,0.133333,0.004449
4,2,0.26,0.2100,0.133333,0.004449
4,2,0.72,0.1800,0.500000,0.004441
2,2,0.18,0.1200,0.233333,0.004265
3,3,0.18,0.1200,0.233333,0.004265
4,4,0.18,0.1200,0.233333,0.004265
4,1,0.18,0.1500,0.133333,0.004238
3,2,0.72,0.1200,0.200000,0.004167
3,2,0.26,0.2100,0.166667,0.004078
3,1,0.36,0.1200,0.200000,0.004
3,1,0.26,0.1500,0.133333,0.003987
3,1,0.18,0.2100,0.766667,0.003842
4,1,0.26,0.1200,0.166667,0.003813
2,1,0.18,0.1500,0.166667,0.003792
4,2,0.18,0.1500,0.166667,0.003792
4,3,0.36,0.2100,0.133333,0.003775
3,1,0.18,0.1500,0.133333,0.003728
4,3,0.54,0.1800,0.600000,0.003669
2,1,0.72,0.1800,0.500000,0.003625
4,1,0.18,0.1200,0.166667,0.003608
3,2,0.18,0.2100,0.133333,0.003581
2,4,0.26,0.1500,0.166667,0.003532
3,1,0.36,0.1500,0.133333,0.003434
4,3,0.26,0.2100,0.166667,0.003408
2,1,0.18,0.1200,0.200000,0.003285
4,2,0.18,0.1200,0.200000,0.003285
4,3,0.72,0.1200,0.200000,0.003255
2,2,0.18,0.1500,0.200000,0.003194
3,3,0.18,0.1500,0.200000,0.003194
4,4,0.18,0.1500,0.200000,0.003194
4,3,0.18,0.2100,0.133333,0.003152
4,1,0.26,0.1200,0.133333,0.00313
4,1,0.36,0.1200,0.166667,0.003047
2,3,0.54,0.2100,0.133333,0.003016
2,2,0.18,0.2100,0.166667,0.002979
3,3,0.18,0.2100,0.166667,0.002979
4,4,0.18,0.2100,0.166667,0.002979
4,1,0.18,0.1200,0.133333,0.002918
2,1,0.36,0.2100,0.133333,0.002894
4,2,0.36,0.2100,0.133333,0.002894
3,1,0.18,0.1200,0.166667,0.002839
2,1,0.18,0.1500,0.133333,0.002761
4,2,0.18,0.1500,0.133333,0.002761
4,1,0.36,0.1200,0.133333,0.002737
2,1,0.26,0.1500,0.166667,0.002647
4,2,0.26,0.1500,0.166667,0.002647
3,4,0.36,0.1500,0.733333,0.002615
4,1,0.72,0.1800,0.433333,0.002597
2,2,0.26,0.2100,0.133333,0.002574
3,3,0.26,0.2100,0.133333,0.002574
4,4,0.26,0.2100,0.133333,0.002574
2,3,0.18,0.2100,0.133333,0.002502
3,2,0.26,0.2100,0.133333,0.002495
3,2,0.18,0.1500,0.166667,0.002453
3,4,0.72,0.2100,0.533333,0.002451
3,1,0.18,0.1200,0.133333,0.002394
3,2,0.36,0.1500,0.700000,0.002362
3,1,0.26,0.1200,0.166667,0.002262
3,4,0.72,0.1800,0.133333,0.002225
3,1,0.26,0.1200,0.133333,0.002083
4,1,0.72,0.1500,0.133333,0.002057
2,1,0.26,0.1500,0.133333,0.002
4,2,0.26,0.1500,0.133333,0.002
3,2,0.36,0.2100,0.133333,0.001999
3,4,0.36,0.1500,0.166667,0.001972
3,1,0.54,0.1200,0.200000,0.001891
2,2,0.18,0.2100,0.133333,0.001882
3,3,0.18,0.2100,0.133333,0.001882
4,4,0.18,0.2100,0.133333,0.001882
4,1,0.36,0.1200,0.633333,0.001855
3,2,0.18,0.1500,0.133333,0.001847
4,3,0.18,0.1500,0.166667,0.0018
3,4,0.18,0.2100,0.133333,0.001646
4,3,0.26,0.2100,0.133333,0.001637
2,4,0.18,0.1500,0.166667,0.001613
2,1,0.26,0.1200,0.200000,0.001505
4,2,0.26,0.1200,0.200000,0.001505
4,3,0.18,0.1500,0.133333,0.001439
3,2,0.18,0.1200,0.200000,0.001437
2,1,0.18,0.1200,0.133333,0.001399
4,2,0.18,0.1200,0.133333,0.001399
2,1,0.18,0.1200,0.166667,0.001388
4,2,0.18,0.1200,0.166667,0.001388
3,2,0.54,0.1500,0.166667,0.001211
2,3,0.26,0.1500,0.166667,0.000855
3,1,0.36,0.1200,0.133333,0.000775
3,4,0.26,0.1500,0.166667,0.000772
3,1,0.54,0.1500,0.166667,0.00069
4,3,0.54,0.1500,0.166667,0.00063
4,3,0.18,0.1200,0.200000,0.000603
4,1,0.54,0.1200,0.133333,0.000549
2,1,0.54,0.1500,0.166667,0.000543
2,3,0.18,0.1500,0.166667,0.000543
3,2,0.18,0.1200,0.133333,0.000493
2,1,0.54,0.1200,0.200000,0.000472
4,2,0.54,0.1200,0.200000,0.000472
2,2,0.36,0.1500,0.166667,0.000463
3,3,0.36,0.1500,0.166667,0.000463
4,4,0.36,0.1500,0.166667,0.000463
3,1,0.54,0.1500,0.133333,0.000409
2,4,0.26,0.1500,0.866667,0.000266
2,2,0.18,0.1500,0.133333,0.000217
3,3,0.18,0.1500,0.133333,0.000217
4,4,0.18,0.1500,0.133333,0.000217
3,4,0.18,0.1500,0.166667,0.0002
2,4,0.54,0.1500,0.633333,0.00016
3,1,0.36,0.1200,0.166667,0.000148
3,2,0.26,0.1500,0.133333,0.000122
4,3,0.18,0.1200,0.133333,0.000061
2,1,0.26,0.1200,0.133333,0.000059
4,2,0.26,0.1200,0.133333,0.000059
2,2,0.18,0.1500,0.166667,0.00003
3,3,0.18,0.1500,0.166667,0.00003
4,4,0.18,0.1500,0.166667,0.00003
3,2,0.18,0.1200,0.166667,0.000025
